customer_id,seller_id,order_checkout_date,delivery_eta,shipping_charges,product_category_code,X_1,X_2,product_quality_type,product_mass,product_length,product_height,product_breadth,payment_emi_years(max),price,order_status,transaction_type,coupon_code,payment_code
0a29abf475fb8039d2775913d6f0b6f0,48436dade18ac8b2bce089ec2a041202,2017-08-05 16:59:05,2017-09-06 00:00:00,18.12,27,58,598,D,650,28,9,14,1,153.75,E,1,CLOTH20,GPAY20
903ac1be571f2dc655f9083ffc936ce6,5b51032eddd242adc84c38acab88f23d,2017-10-30 15:35:32,2017-11-24 00:00:00,20.08,55,59,695,B,3050,33,13,33,1,388.17,E,3,CLOTH20,CITI10
bfadadd0d97f4c52f859c1c4d809edf9,4a3ca9315b744ce9f8e9374361493884,2017-11-04 12:03:25,2017-11-30 00:00:00,2.29,14,54,245,A,1383,50,10,40,1,216.72,E,1,CLOTH20,GPAY20
6c9e6937792cc04d9bb23451e0ff9f48,4a3ca9315b744ce9f8e9374361493884,2017-06-15 11:46:47,2017-07-10 00:00:00,1.86,14,54,245,A,1383,50,10,40,1,228.95,E,1,CLOTH15,CITI10
906e77e04c502baf17ad58162217da39,4a3ca9315b744ce9f8e9374361493884,2018-01-03 09:14:25,2018-01-31 00:00:00,15.57,14,54,245,A,1383,50,10,40,1,243.51,E,2,CLOTH15,CITI10
4382a843aa3bf7571f81732d6262bc41,4a3ca9315b744ce9f8e9374361493884,2017-08-20 18:59:55,2017-09-20 00:00:00,4.71,,54,245,A,1383,50,10,40,1,158.88,E,10,CLOTH15,CITI10
f38c843311c015d30911b4bf8b2d0a98,4a3ca9315b744ce9f8e9374361493884,2017-11-24 19:21:47,2017-12-19 00:00:00,19.5,14,54,245,A,1383,50,10,40,1,218.8,E,1,CLOTH15,CITI10
ca090843ee5ff7e0f8168d693f8b60c4,4a3ca9315b744ce9f8e9374361493884,2018-06-10 19:09:32,2018-07-03 00:00:00,42.07,14,54,245,A,1383,50,10,40,1,206.08,E,5,CLOTH20,CITI10
b85a55907f00013ed7b953a50de74e12,4a3ca9315b744ce9f8e9374361493884,2018-01-01 22:40:31,2018-02-02 00:00:00,3.38,14,54,245,A,1383,50,10,40,3,47.86,E,1,CLOTH15,APAY15
95f0df1f2f6ec93cecb00ba84f424420,4a3ca9315b744ce9f8e9374361493884,2017-11-24 20:17:44,2017-12-14 00:00:00,3.16,14,54,245,A,1383,50,10,40,1,384.58,E,10,CLOTH20,CITI10
33be5c7b3301e5729a5fa7101700a5cc,4a3ca9315b744ce9f8e9374361493884,2017-08-11 18:47:41,2017-09-04 00:00:00,17.88,14,54,245,A,1383,50,10,40,1,215.56,E,8,CLOTH15,CITI10
e346c520f747b33c5e589080471cb18f,4a3ca9315b744ce9f8e9374361493884,2017-08-24 23:03:49,2017-09-14 00:00:00,13.65,14,54,245,A,1383,50,10,40,1,207.1,E,1,CLOTH20,PAYTM25
bbfec30263d2f8e19e695453564a007a,4a3ca9315b744ce9f8e9374361493884,2018-06-19 19:05:34,2018-07-11 00:00:00,27.03,14,54,245,A,1383,50,10,40,1,189.53,E,8,CLOTH15,CITI10
71a06801bc27c0d2314e8c7deab81adf,4a3ca9315b744ce9f8e9374361493884,2017-06-07 22:27:49,2017-06-28 00:00:00,13.65,14,54,245,A,1383,50,10,40,1,207.1,E,1,CLOTH20,PAYTM25
